Hundename,Original_Hundename,Score,EpiProgeny
Middlegate Tinker,NORD JCH Middlegate Tinker,"1,9375","Alsn�sets Hagla's Midnattssol, Chilihunters Game Glen, Chilihunters Over Bridge, Chilihunters Over Trouble, Chilihunters Pro Hazy, NIINIVUOREN KULTA-KUTRI, Vauhti-Noudon Vauhtineito, Viltv�rdarns Galax, Viltv�rdarns Unika Enya, Waterfowler Ace, Willowridge G�sta-Berling, Zetastar Zesty Boy"
Sandylands My Guy,UK Ch Sandylands My Guy,"1,9375","Anthony Kenneth from Grannies Garden, Clausi von der Aacher Haag, Clinton vom Hembeck, Crooked Field Action, Daisy vom Bosselbacherhof, Dolly vom Bosselbacherhof, Eternal Friend's Bright Eyes, Faithful Bright Eyes Autumn Love, G�salyckans Gary Cooper, G�salyckans Handsome Boy, Gwendy's Gandalf, Hof Sommerberg Carlos, Jumping Jack's Flash Absolute Power, Kebrekato Famehunter, Kebrekato Fiddle Dee, Kebrekato Millenium Star, Nothing Matters vom Auerswalder Teich, Riverflow Star Pleaser, Saskian Xino"
Heatherbank Alex of Tasco,IntFTCh Heatherbank Alex of Tasco,"1,9375","Batmoors' Apollo Lurgan, Floyd vom Hirschth�rl, Flynn vom Hirschth�rl, Frankie's Rolle, Hardrocks Blue Danube, Huntrets Gott Mos, Mandylike's Twinkle, Muschelsucher Clooney, Namusillan Tammikehr��j�, NIINIVUOREN MEREN-SALAISUUS, Niinivuoren Pakkas Otto, NIINIVUOREN PAKKAS VAHINKO, Niinivuoren Pakkasenn�tys, NIINIVUOREN PAKKASUKKO, Polarfischer Greg, Pumpans Autumn Gold, Pumpans Harvest Moon, Pumpans Sugar Treat, Searover Day Mackay, Searover Kellys Guns N'roses, SE LCH Streamlight's Ace Leon, Thorsvi Rock Creek, Wijmas Lilla My, Wijmas Mymlan, Zetastar Zesty Boy"
Tasco Broom-Tip of Carnochway,FTCh Tasco Broom-Tip of Carnochway,"1,9375","Chilihunters Over Bridge, Chilihunters Over Trouble, COSMIC COVER'S WIN CALL TO FIND OUT, Hardrocks Blue Danube, IVANTHES FIRST PLOPP, Lintukarin Armastaipale, LINTUKARIN LASSEVIREN, Mandylike's Twinkle, Muschelsucher Clooney, Namusillan Tammikehr��j�, NIINIVUOREN KULTA-KUTRI, NIINIVUOREN MEREN-SALAISUUS, Niinivuoren Pakkas Otto, NIINIVUOREN PAKKAS VAHINKO, Niinivuoren Pakkasenn�tys, NIINIVUOREN PAKKASUKKO, Searover Easy Sjakk, Splash of Water's Capercaillie, Splash of Water's Grouse, SE LCH Streamlight's Ace Leon, S?KH I VATTUMANNEN HUMLE, Zetastar Zesty Boy"
Lettermore Tide of Hatchfield,FTCh Lettermore Tide of Hatchfield,"1,875","Batmoors' Apollo Lurgan, Cliff vom Zwillbrocker Venn, Cosmic Cover's Mill's Jaywalker, Dual's Hope Nicam, Gr�fin von Westerholts Kastalia, Hypnos Spectre, Kosta Kl�vers Bran, Limmerhultarna's Solstorm, Meadowlark Marigold, Meadowlark Mr Badger, Namusillan Tammikehr��j�, Sea-Croft Kay's Iowa, Searover Day Mackay, Streamlight's Grappas Dexter, Sven (SE21895/2015), Thorsvi Harris, Thorsvi Rock Creek, Willowridge Five Star"
Levenghyl Baccarat at Lochmuir,FTW Levenghyl Baccarat at Lochmuir,"1,875","Brufinn Keep Retrieving Doc, Caper Cailie's Ohio, Glengad Dobby, Middle River's Forest Harmony"
Baildonian Tina,FTW Baildonian Tina,"1,875","Brufinn Keep Retrieving Doc, Dimh�jdens Jack Af Barney, Frankie's Rolle, SE J(J)CH Hillus Drake, Huntrets Gott Mos, Huntrets Scilla, Meadowlark Black Kite, Meadowlark Marigold, Meadowlark Mr Badger, Polarfischer Greg, Pumpans Autumn Gold, Pumpans Harvest Moon, Pumpans Sugar Treat, Searover Easy Sjakk, Streamlight's Grappas Dexter, Streamlight's Pearl Sandy, Thorsvi Rock Creek, Wijmas Lilla My, Wijmas Mymlan, Winning Line's License to Kill, Zetastar Zesty Boy"
Dargdaffin Candy,Dargdaffin Candy,"1,875","Chilihunters Over Bridge, Chilihunters Over Trouble, Hardrocks Blue Danube, IVANTHES FIRST PLOPP, Lintukarin Armastaipale, LINTUKARIN LASSEVIREN, Mandylike's Twinkle, Muschelsucher Clooney, Namusillan Tammikehr��j�, NIINIVUOREN KULTA-KUTRI, NIINIVUOREN MEREN-SALAISUUS, Niinivuoren Pakkas Otto, NIINIVUOREN PAKKAS VAHINKO, Niinivuoren Pakkasenn�tys, NIINIVUOREN PAKKASUKKO, Searover Easy Sjakk, Splash of Water's Capercaillie, Splash of Water's Grouse, SE LCH Streamlight's Ace Leon, S?KH I VATTUMANNEN HUMLE, Zetastar Zesty Boy"
Dickendall Davaron Gable,BISS Am CH Dickendall Davaron Gable,"1,875","Country Companion's Choco Pie, Crooked Field Action, Eternal Friend's Bright Eyes, Faithful Bright Eyes Autumn Love, Jumping Jack's Flash Absolute Power, KhylarCreek Entering Mach II, Kleo vom Fallenbergs-Hof, Laboriginals Oi Va Voi"
Keness Milou,Keness Milou,"1,875","Hillraisins Black Bertha, Huntrets Gott Mos, Huntrets Scilla, IVANTHES FIRST PLOPP, Limmerhultarna's Solstorm, Lintukarin Armastaipale, LINTUKARIN LASSEVIREN, Searover Ruffling Thea, Splash of Water's Capercaillie, Splash of Water's Grouse, SE LCH Streamlight's Ace Leon, Streamlight's Pearl Sandy, Sven (SE21895/2015), Viltv�rdarns Unika Enya, Zetastar Zesty Boy"
Summer Kiss,Summer Kiss,"1,875","Lintukarin Armastaipale, LINTUKARIN LASSEVIREN, Mandylike's Twinkle, NIINIVUOREN KULTA-KUTRI, NIINIVUOREN MEREN-SALAISUUS, Niinivuoren Pakkas Otto, NIINIVUOREN PAKKAS VAHINKO, Niinivuoren Pakkasenn�tys, NIINIVUOREN PAKKASUKKO"
Symington Clarerone of Leadburn,FTCh Symington Clarerone of Leadburn,"1,8125","Alsn�sets Hagla's Midnattssol, Chilihunters Game Glen, Chilihunters Over Bridge, Chilihunters Over Trouble, Chilihunters Pro Hazy, Eagle Owl's Osiris, Lochmuir Casey, Moorman's Lennie Mirak, NIINIVUOREN KULTA-KUTRI, Pibiz Game Keeper, Reedsweeper's Desna, Searover Cosys Karo, Searover Kellys Guns N'roses, S?KH I VATTUMANNEN HUMLE, Waterfowler Ace, Willowridge G�sta-Berling"
Manymills Electron,Manymills Electron,"1,8125","Amamus Pica-Pica, Chilihunters Game Glen, Lintukarin Armastaipale, LINTUKARIN LASSEVIREN, Merjatuulian Wekkuli, Moorman's Lennie Mirak, Muistokas Rollo, Niinivuoren Aamu-Uninen, Saku (FIN46719/07), Searover Cosys Karo, Searover Ruffling Thea, Sirmakan Jitterbug, Streamlight's Pearl Sandy, Usvalinnun Asterix, Viltv�rdarns Galax, Willowridge G�sta-Berling"
Poolstead Pretentious At Rocheby,Poolstead Pretentious At Rocheby,"1,8125","Ambra vom freien Blick, Aslan vom freien Blick, Donna of Anny's Labs, Dumbledore of Anny's Labs, Funny Oskar von Gugi's Kate, Gismo vom G?nsried, Holli von Gugi's Kate, Iljoscha von der Perle der S�dpfalz, Jost vom Settenbeck, Jumping Jack's Flash Absolute Power, Kebrekato Millenium Star, King von der Bleiburg, Kleo vom Fallenbergs-Hof, Ludanies Be Brave, Nanni-Nadalina von der Bleiburg, Olina von der Hollen-Hardt, Pictorial Betty, Rosanan White Gold, Shadowvale's Tough Lady Hope, Snowy Roxy vom Windbrunnen"
Rocheby Acorn,Eng Sh Ch Rocheby Acorn,"1,8125","Ambra vom freien Blick, Aslan vom freien Blick, Donna of Anny's Labs, Dumbledore of Anny's Labs, Funny Oskar von Gugi's Kate, Gismo vom G?nsried, Holli von Gugi's Kate, Iljoscha von der Perle der S�dpfalz, Jost vom Settenbeck, Kebrekato Millenium Star, King von der Bleiburg, Kleo vom Fallenbergs-Hof, Ludanies Be Brave, Nanni-Nadalina von der Bleiburg, Olina von der Hollen-Hardt, Pictorial Betty, Rosanan White Gold, Shadowvale's Tough Lady Hope, Snowy Roxy vom Windbrunnen"
Black Purdey of Keswick,FTW Black Purdey of Keswick,"1,8125","Cliff vom Zwillbrocker Venn, Eagle Owl's Osiris, Felice vom Lipperoder Bruch, Hypnos Spectre, Labstratego Yellow River, Mandylike's Twinkle, Muschelsucher Clooney, NIINIVUOREN MEREN-SALAISUUS, Pibiz Game Keeper, Raven vom Tor zur Egge, Ravenfly Arielle, Sea-Croft Kay's Iowa, Searover Day Mackay, Sirmakan Jitterbug, Sven (SE21895/2015)"
Buttermead Crusader,FTW Buttermead Crusader,"1,8125","COSMIC COVER'S WIN CALL TO FIND OUT, Hillraisins Black Bertha, Lintukarin Armastaipale, LINTUKARIN LASSEVIREN, Middle River's Forest Harmony, Never change Gasper, Niinivuoren Pakkas Otto, NIINIVUOREN PAKKAS VAHINKO, Niinivuoren Pakkasenn�tys, NIINIVUOREN PAKKASUKKO, Perdix Gundogs Englishman in New York, Raven vom Tor zur Egge"
Brindlebay Ant,Brindlebay Ant,"1,8125","COSMIC COVER'S WIN CALL TO FIND OUT, Hillraisins Black Bertha, Lintukarin Armastaipale, LINTUKARIN LASSEVIREN, Middle River's Forest Harmony, Never change Gasper, Niinivuoren Pakkas Otto, NIINIVUOREN PAKKAS VAHINKO, Niinivuoren Pakkasenn�tys, NIINIVUOREN PAKKASUKKO, Perdix Gundogs Englishman in New York, Raven vom Tor zur Egge"
Justlike Tiger-Woods,SE J(J)CH Justlike Tiger-Woods,"1,8125","Frankie's Rolle, Huntrets Scilla, Pumpans Autumn Gold, Pumpans Harvest Moon, Pumpans Sugar Treat, Reedsweeper's Desna, Sea-Croft Kay's Iowa, Splash of Water's Capercaillie, Splash of Water's Grouse, S?KH I VATTUMANNEN HUMLE, Willowridge Five Star, Winning Line's License to Kill"
Alva vom H�lser Bruch,Alva vom H�lser Bruch,"1,75","Ambra vom freien Blick, Aslan vom freien Blick, Doro�s Bennet Fellow for Life, Junker vom H�lser Bruch, Jytte Jenna vom H�lser Bruch"
Danestone Tweed,Int FT Ch Danestone Tweed,"1,75","Brufinn Keep Retrieving Doc, Glengad Dobby, Middle River's Forest Harmony"
Annual's Taste of America,SE U(U)CH Annual's Taste of America,"1,75","Daisy vom Bosselbacherhof, Dolly vom Bosselbacherhof, Faithful Bright Eyes Autumn Love, Jumping Jack's Flash Absolute Power, Kebrekato Famehunter, Kebrekato Fiddle Dee, Nothing Matters vom Auerswalder Teich"
Streamlight's Brave Pearl,SE J(J)CH SE J(A)CH Streamlight's Brave Pearl,"1,75","IVANTHES FIRST PLOPP, SE LCH Streamlight's Ace Leon, Streamlight's Pearl Sandy"
Krouvarin Carmen,Krouvarin Carmen,"1,75","Lintukarin Armastaipale, LINTUKARIN LASSEVIREN, Muistokas Rollo, Niinivuoren Aamu-Uninen"
Warringah's Fore Square,GB.Ch. Warringah's Fore Square,"1,6875","Aaron from Elderberry Grove, Alerich of Trickster Hero, As Game As Ermara, Blacky vom Alst�tter-Moor, Bundy vom Hof Ibn Safinaz, Gismo vom G?nsried, Oliver von Obderhalden, Ulanda aus dem Burghaus, Vigo von der Pfalz, Zlotha-Baba von der Pfalz"
Queens Muddie aus L�hlsbusch,Queens Muddie aus L�hlsbusch,"1,6875","Angel of Hope Arik, As Game As Ermara, Catch me if you can Happy Carlo, Grages Annalouisa"
Garendon Captain,FTCh Garendon Captain,"1,6875","Batmoors' Apollo Lurgan, Brufinn Keep Retrieving Doc, Caper Cailie's Ohio, Chilihunters Pro Hazy, Deep Impact As Nike, Kosta Kl�vers Bran, Middle River's Forest Harmony, Reedsweeper's Desna, Sea-Croft Nimble, Sven (SE21895/2015), S?KH I VATTUMANNEN HUMLE, Waterfowler Ace"
Jayncourt Star-Blossom,Jayncourt Star-Blossom,"1,6875","Donna of Anny's Labs, Dumbledore of Anny's Labs, Faithful Bright Eyes Autumn Love, Jumping Jack's Flash Absolute Power, Kebrekato Famehunter, Kebrekato Fiddle Dee, Kebrekato Millenium Star, Meta vom Barkendiek, Nothing Matters vom Auerswalder Teich, Riverflow Star Pleaser"
Charway Uncle Tom,Charway Uncle Tom,"1,625","Aaron from Elderberry Grove, As Game As Ermara, Black Hamlet L for Lake Shasta, Cassiopeia vom Hof F?rst, Catch me if you can Happy Carlo, Double Rainbow vom Stuckenbuscher Wald, DE (VDH)CH Elsa von der Aacher Haag, Enno von der Aacher Haag, Fancyful Tramp Charly Brown, Fiin Hemuli, Grages Annalouisa, Hanno vom Fallenbergs-Hof, Hedda vom Fallenbergs-Hof, Higgins vom Fallenbergs-Hof, Jost vom Settenbeck, King von der Bleiburg"
Asta vom Alst�tter-Moor,Asta vom Alst�tter-Moor,"1,625","Aaron from Elderberry Grove, Blacky vom Alst�tter-Moor, Hanno vom Fallenbergs-Hof, Hedda vom Fallenbergs-Hof, Higgins vom Fallenbergs-Hof"
Secret Song of Lawnwood,Secret Song of Lawnwood,"1,625","Aaron from Elderberry Grove, Blacky vom Alst�tter-Moor, Brookhill's Crabman, Bundy vom Hof Ibn Safinaz, Gismo vom G?nsried, Gulliver of Woodpecker's Lane, Hof Sommerberg Carlos, Lauterrinn's Dale Sir Falk Freddy, Shadowvale's Tough Lady Hope, Ulanda aus dem Burghaus, Usvalinnun Asterix, Usvalinnun Cessi, Vigo von der Pfalz, Willowyck Unite"
Rocheby Royal Oak,Eng CH Rocheby Royal Oak,"1,625","Alerich of Trickster Hero, Cassiopeia vom Hof F?rst, Clinton vom Hembeck, Dark Water's Endless Star, Donna of Anny's Labs, Doro�s Bennet Fellow for Life, Dumbledore of Anny's Labs, Funny Oskar von Gugi's Kate, Gent Fynn from the Old Mansion House, Gismo vom G?nsried, Hardscrabble Augusta, Holli von Gugi's Kate, Judges Choice Cross my Heart, Ludanies Be Brave, Olina von der Hollen-Hardt, Pictorial Betty, Rosanan White Gold"
(Unknown),(Unknown),"1,625","Alsn�sets Hagla's Midnattssol, Carson vom Stecknitztal, Dirk von Stieg, Double Rainbow vom Stuckenbuscher Wald, IVANTHES FIRST PLOPP, Judges Choice Cross my Heart, Mandylike's Porsche, Oliver von Obderhalden, Roemmelt Red, Tealshead Bracken"
Flaxdale Blue-Dun,NORD JCH INT JCH Flaxdale Blue-Dun,"1,625","Alsn�sets Hagla's Midnattssol, Chilihunters Game Glen, Chilihunters Over Bridge, Chilihunters Over Trouble, Chilihunters Pro Hazy, Hillraisins Black Bertha, Huntrets Gott Mos, Limmerhultarna's Solstorm, Merjatuulian Wekkuli, Moorman's Lennie Mirak, Pumpans Autumn Gold, Pumpans Harvest Moon, Pumpans Sugar Treat, Sea-Croft Nimble, Waterfowler Ace, Willowridge Five Star, Willowridge G�sta-Berling"
Brandhams Show Stopper,Brandhams Show Stopper,"1,625","Angel of Hope Arik, Aprilmist Feat Wandoris, APRILMIST FLATLINER, Armani Damon vom Asbrookdamm, Black Hamlet L for Lake Shasta, Cassiopeia vom Hof F?rst, Clausi von der Aacher Haag, Crooked Field Action, Double Rainbow vom Stuckenbuscher Wald, Fancyful Tramp Charly Brown, Gr�fin von Westerholts Kastalia, Illko Wind in the Willows, Judges Choice Cross my Heart, Just Bertha von der Tarpenbek, Mira von Gugi's Kate, Saskian Xino"
Gaia aus L�hlsbusch,Gaia aus L�hlsbusch,"1,625","Angel of Hope Arik, As Game As Ermara, Black Hamlet L for Lake Shasta, Catch me if you can Happy Carlo, Gr�fin von Westerholts Kastalia, Grages Annalouisa, Iljoscha von der Perle der S�dpfalz, Meta vom Barkendiek"
Flightline Jackpot,Flightline Jackpot,"1,625","Anthony Kenneth from Grannies Garden, Carson vom Stecknitztal, Deep Impact As Nike, Felice vom Lipperoder Bruch, Floyd vom Hirschth�rl, Flying Flap Ears Duncan, Flying Flap Ears Ice Age, Flynn vom Hirschth�rl, Nanni-Nadalina von der Bleiburg, Never change Gasper, Ravenfly Arielle"
Pocklea Adder,FTCh Pocklea Adder,"1,625","Caper Cailie's Ohio, Cosmic Cover's Mill's Jaywalker, COSMIC COVER'S WIN CALL TO FIND OUT, Deep Impact As Nike, IVANTHES FIRST PLOPP, Kingsdale Meadow Dark, Lochmuir Casey"
Saxthorpe Buzzard of Brindlebay,Int + B FTCh Saxthorpe Buzzard of Brindlebay,"1,625","Cliff vom Zwillbrocker Venn, Eagle Owl's Osiris, Gr�fin von Westerholts Kastalia, Hypnos Spectre, Nanni-Nadalina von der Bleiburg, Never change Gasper, Perdix Gundogs Englishman in New York, Raven vom Tor zur Egge, Vauhti-Noudon Vauhtineito"
Greenbriar Vogue,FTW Greenbriar Vogue,"1,625","Cliff vom Zwillbrocker Venn, Cosmic Cover's Mill's Jaywalker, Hh's On Duty Cronos, Kosta Kl�vers Bran, Sea-Croft Kay's Iowa, Searover Day Mackay, Sven (SE21895/2015), Thorsvi Rock Creek"
Eastdale Guss,FTCh Eastdale Guss,"1,625","Cosmic Cover's Mill's Jaywalker, Glengad Dobby, Kosta Kl�vers Bran, Sea-Croft Kay's Iowa, Splash of Water's Capercaillie, Splash of Water's Grouse, Winning Line's License to Kill"
Tekell's Good Golly Miss Molly,Tekell's Good Golly Miss Molly,"1,625","Crooked Field Action, Eternal Friend's Bright Eyes, Faithful Bright Eyes Autumn Love, Jumping Jack's Flash Absolute Power, Kleo vom Fallenbergs-Hof"
Black Magic Woman Brisky Betty,Black Magic Woman Brisky Betty,"1,625","Hanno vom Fallenbergs-Hof, Hedda vom Fallenbergs-Hof, Higgins vom Fallenbergs-Hof, Kleo vom Fallenbergs-Hof"
Rumbleton Quicksilver,FTCh Rumbleton Quicksilver,"1,625","Kosta Kl�vers Bran, Meadowlark Marigold, Meadowlark Mr Badger, Wijmas Lilla My, Wijmas Mymlan"
Birdrowe Honey of Isleofcanty,Birdrowe Honey of Isleofcanty,"1,625","Kosta Kl�vers Bran, Meadowlark Marigold, Meadowlark Mr Badger, Wijmas Lilla My, Wijmas Mymlan"
Bierspool Blackbill of Lakedown,FTCh Bierspool Blackbill of Lakedown,"1,625","Meadowlark Black Kite, Thorsvi Harris, Thorsvi Rock Creek, Willowridge Five Star"
Anna von der Femeiche,Anna von der Femeiche,"1,5625","Aaron from Elderberry Grove, Ambra vom freien Blick, As Game As Ermara, Aslan vom freien Blick, Black Hamlet L for Lake Shasta, Catch me if you can Happy Carlo, Doro�s Bennet Fellow for Life, Grages Annalouisa, Hanno vom Fallenbergs-Hof, Hedda vom Fallenbergs-Hof, Higgins vom Fallenbergs-Hof, Iljoscha von der Perle der S�dpfalz, Junker vom H�lser Bruch, Jytte Jenna vom H�lser Bruch, Kleo vom Fallenbergs-Hof"
Lawnwood's Spindrifter,Lawnwood's Spindrifter,"1,5625","Aaron from Elderberry Grove, Alerich of Trickster Hero, As Game As Ermara, Blacky vom Alst�tter-Moor, Bundy vom Hof Ibn Safinaz, Gismo vom G?nsried, Ulanda aus dem Burghaus, Vigo von der Pfalz, Zlotha-Baba von der Pfalz"
Garronpoint Little Dove,UK FTCh Garronpoint Little Dove,"1,5625","Anthony Kenneth from Grannies Garden, Cliff vom Zwillbrocker Venn, Deep Impact As Nike, NIINIVUOREN MEREN-SALAISUUS, Sea-Croft Kay's Iowa, Splash of Water's Capercaillie, Splash of Water's Grouse, Vauhti-Noudon Vauhtineito, Winning Line's License to Kill"
Birdbrook Aston of Bellever,FTCh Birdbrook Aston of Bellever,"1,5625","Anthony Kenneth from Grannies Garden, Batmoors' Apollo Lurgan, Deep Impact As Nike, Felice vom Lipperoder Bruch, Gr�fin von Westerholts Kastalia, Hillraisins Black Bertha, Lintukarin Armastaipale, LINTUKARIN LASSEVIREN, Meadowlark Black Kite, Never change Gasper, Niinivuoren Pakkas Otto, NIINIVUOREN PAKKAS VAHINKO, Niinivuoren Pakkasenn�tys, NIINIVUOREN PAKKASUKKO, Raven vom Tor zur Egge, Snowy Roxy vom Windbrunnen"
Endacott Spindle,FTW Endacott Spindle,"1,5625","Batmoors' Apollo Lurgan, Cosmic Cover's Mill's Jaywalker, Dual's Hope Nicam, Flying Flap Ears Ice Age, Gr�fin von Westerholts Kastalia, Muschelsucher Clooney, Pibiz Game Keeper, Sea-Croft Nimble, Searover Sweet Flip Flop, Thorsvi Harris, Thorsvi Rock Creek, Viltv�rdarns Unika Enya, Wijmas Lilla My, Wijmas Mymlan, Willowridge Five Star"
Glenpatrick Eve,FTCh Glenpatrick Eve,"1,5625","Batmoors' Apollo Lurgan, Brufinn Keep Retrieving Doc, Caper Cailie's Ohio, COSMIC COVER'S WIN CALL TO FIND OUT, Deep Impact As Nike, Glengad Dobby, Kosta Kl�vers Bran, Pibiz Game Keeper, Sven (SE21895/2015)"
Glenbriar Quest,IrlFTCh Glenbriar Quest,"1,5625","Batmoors' Apollo Lurgan, Dual's Hope Nicam, Eagle Owl's Osiris, Hillraisins Black Bertha, Hypnos Spectre, Lintukarin Armastaipale, LINTUKARIN LASSEVIREN, Meadowlark Black Kite, Never change Gasper, Niinivuoren Pakkas Otto, NIINIVUOREN PAKKAS VAHINKO, Niinivuoren Pakkasenn�tys, NIINIVUOREN PAKKASUKKO, Quickrunners Alan, Quickrunners August, Raven vom Tor zur Egge, Viltv�rdarns Unika Enya, Wijmas Lilla My, Wijmas Mymlan"
Endacott Stoer of Quabrook,GB FTCh Endacott Stoer of Quabrook,"1,5625","Brufinn Keep Retrieving Doc, Caper Cailie's Ohio, Charway Rainstorm, Glengad Dobby, Hh's On Duty Cronos, Pibiz Game Keeper"
Conneywarren Russet of Birdbrook,FTCh Conneywarren Russet of Birdbrook,"1,5625","Chilihunters Game Glen, COSMIC COVER'S WIN CALL TO FIND OUT, Mandylike's Porsche, NIINIVUOREN KULTA-KUTRI, Polarfischer Greg, Waterfowler Ace"
Swinbrook Stonefly,FTCh Swinbrook Stonefly,"1,5625","Dual's Hope Nicam, Eagle Owl's Osiris, Floyd vom Hirschth�rl, Flynn vom Hirschth�rl, Huntrets Scilla, Lintukarin Armastaipale, LINTUKARIN LASSEVIREN, Mandylike's Twinkle, Meadowlark Black Kite, NIINIVUOREN MEREN-SALAISUUS, Searover Ruffling Thea, Splash of Water's Capercaillie, Splash of Water's Grouse, SE LCH Streamlight's Ace Leon, Streamlight's Pearl Sandy, Viltv�rdarns Unika Enya, Wijmas Lilla My, Wijmas Mymlan, Willowyck Unite"
Shadowbrae Storm,Shadowbrae Storm,"1,5625","Frankie's Rolle, Hillraisins Black Bertha, Huntrets Gott Mos, Huntrets Scilla, Limmerhultarna's Solstorm, Moorman's Lennie Mirak, Pumpans Autumn Gold, Pumpans Harvest Moon, Pumpans Sugar Treat, Reedsweeper's Desna, Sea-Croft Kay's Iowa, Splash of Water's Capercaillie, Splash of Water's Grouse, Willowridge Five Star, Winning Line's License to Kill"
Moorman's Blue Saint,Moorman's Blue Saint,"1,5625","Frankie's Rolle, Hillraisins Black Bertha, Huntrets Gott Mos, Huntrets Scilla, Limmerhultarna's Solstorm, Moorman's Lennie Mirak, Pumpans Autumn Gold, Pumpans Harvest Moon, Pumpans Sugar Treat, Reedsweeper's Desna, Sea-Croft Kay's Iowa, Splash of Water's Capercaillie, Splash of Water's Grouse, Willowridge Five Star, Winning Line's License to Kill"
Haretor Shadow of Drakeshead,FTCh Haretor Shadow of Drakeshead,"1,5625","Frankie's Rolle, Hillraisins Black Bertha, Huntrets Gott Mos, Limmerhultarna's Solstorm, Namusillan Tammikehr��j�, NIINIVUOREN KULTA-KUTRI, Pumpans Autumn Gold, Pumpans Harvest Moon, Pumpans Sugar Treat, Saku (FIN46719/07), Sea-Croft Nimble, Searover Cosys Karo, Searover Kellys Guns N'roses, Splash of Water's Capercaillie, Splash of Water's Grouse, Vauhti-Noudon Vauhtineito, Viltv�rdarns Galax, Viltv�rdarns Unika Enya"
Naiken Kris,GB ShCH Naiken Kris,"1,5","Aika vom Steindammer-Forst, Aprilmist Feat Wandoris, APRILMIST FLATLINER, Armani Damon vom Asbrookdamm, Clausi von der Aacher Haag, Crooked Field Action"
Hamburg Merchant Taylor,Hamburg Merchant Taylor,"1,5","Aika vom Steindammer-Forst, Angel of Hope Arik, Catch me if you can Happy Carlo, Grages Annalouisa"
Sandylands Broom,Sandylands Broom,"1,5","Alerich of Trickster Hero, Daisy vom Bosselbacherhof, Dolly vom Bosselbacherhof, Faithful Bright Eyes Autumn Love, Funny Oskar von Gugi's Kate, Gulliver of Woodpecker's Lane, Jumping Jack's Flash Absolute Power, Kebrekato Famehunter, Kebrekato Fiddle Dee, Lauterrinn's Dale Sir Falk Freddy, Nothing Matters vom Auerswalder Teich, Zlotha-Baba von der Pfalz"
Dorette aus dem Orketal,Dorette aus dem Orketal,"1,5","Alerich of Trickster Hero, Cassiopeia vom Hof F?rst, Vigo von der Pfalz, Zlotha-Baba von der Pfalz"
Brenjon Dirk of Drakeshead,FTCh Brenjon Dirk of Drakeshead,"1,5","Amamus Pica-Pica, Bj�ragardens Timmy-Willie, Carson vom Stecknitztal, Charway Rainstorm, Chilihunters Game Glen, Deep Impact As Nike, SE J(J)CH Hillus Drake, Hunting High And Low B'mali, Lochmuir Casey, Mandylike's Porsche, Merjatuulian Wekkuli, Muistokas Rollo, Namusillan Tammikehr��j�, NIINIVUOREN KULTA-KUTRI, Sea-Croft Nimble, Searover Ruffling Thea, Sirmakan Jitterbug, Willowyck Unite"
Guideline's Copyright,NORD UCH  Guideline's Copyright,"1,5","Angel of Hope Arik, Cassiopeia vom Hof F?rst, Hardscrabble Augusta, Iljoscha von der Perle der S�dpfalz, King von der Bleiburg, Olina von der Hollen-Hardt, Rosanan White Gold, Saku (FIN46719/07)"
Sparkfield Tobias,DKJCH Sparkfield Tobias,"1,5","Anthony Kenneth from Grannies Garden, Caper Cailie's Ohio, Carson vom Stecknitztal, Deep Impact As Nike, Eagle Owl's Osiris, Frankie's Rolle, Hunting High And Low B'mali, Hypnos Spectre, Labstratego Yellow River, Limmerhultarna's Solstorm, Moorman's Lennie Mirak, Reedsweeper's Desna, Searover Day Mackay, Searover Kellys Guns N'roses, Searover Ruffling Thea, SE LCH Streamlight's Ace Leon, Streamlight's Grappas Dexter, Streamlight's Pearl Sandy, Viltv�rdarns Galax"
Dipplelodge Raven of Riversway,FTCh Dipplelodge Raven of Riversway,"1,5","Batmoors' Apollo Lurgan, COSMIC COVER'S WIN CALL TO FIND OUT, Dual's Hope Nicam, Glengad Dobby, Gr�fin von Westerholts Kastalia, Thorsvi Harris, Thorsvi Rock Creek, Willowridge Five Star"
Endacott Kite of Chisbrook,FTW Endacott Kite of Chisbrook,"1,5","Batmoors' Apollo Lurgan, Dual's Hope Nicam, Hh's On Duty Cronos, Thorsvi Harris, Thorsvi Rock Creek, Willowridge Five Star"
Flashmount Socrates,FTCh Flashmount Socrates,"1,5","Batmoors' Apollo Lurgan, COSMIC COVER'S WIN CALL TO FIND OUT, Dual's Hope Nicam, Gr�fin von Westerholts Kastalia, Kingsdale Meadow Dark, Pibiz Game Keeper, Polarfischer Greg, Quickrunners Alan, Quickrunners August, Searover Sweet Flip Flop, Thorsvi Harris, Thorsvi Rock Creek, Willowridge Five Star"
Brindlebay Brigg,FTW Brindlebay Brigg,"1,5","Brufinn Keep Retrieving Doc, Hillraisins Black Bertha, Never change Gasper, Polarfischer Greg, Quickrunners Alan, Quickrunners August, Raven vom Tor zur Egge, Streamlight's Grappas Dexter"
Caper Cailie's Arrieta,Caper Cailie's Arrieta,"1,5","Caper Cailie's Ohio, IVANTHES FIRST PLOPP"
